,naive,gru,lgbm
total,0.6288945410210012,1.0013969905119564,7.507446287143934
state,0.6891539067651542,1.028338139757342,6.883535269174384
store,0.7485747935674464,1.0842207321450181,6.529453496398906
cat,0.6565254493471467,1.0201039835132235,7.213877468388313
dept,0.7572840857589161,1.117262172446768,7.027361482849688
state-cat,0.71905246280091,1.0472804293207123,6.490330304733025
state-dept,0.8041589276826723,1.113470185038247,6.219993708379579
store-cat,0.7938262381155983,1.0781298236569345,5.912495983078668
store-dept,0.8757895887688668,1.1132984734735993,5.4642814797153285
item,1.0941114683183277,1.0081807338874398,2.7178727509098906
state-item,1.1286435993453838,0.9403198732618778,1.9782473939737102
store-item,1.1566964414087635,0.8857835742900455,1.4120817561986196
